"","X","Player","Mat","Inn","NO","Runs","HS","Ave","Balls","SR","X100","X50","X30","X0","X4s","X6s","BpB","Bp4","Bp6","PrB","Pr4","Pr6","BBP","RpB","RpNB","RpI","BpI","Basra","ABP","PRICE.PAID"
"4496",4481,"ashok dinda",143,35,16,108,"22",5.68,137,78.83,0,0,0,8,7,2,15.22,19.57,"68.5",37.04,25.93,11.11,6.57,4.44,0.53,3.09,3.91,84.52,9.97,62500
"4501",4501,"rp singh",130,50,25,108,"18*",4.32,148,72.97,0,0,0,7,4,2,24.67,37,"74",25.93,14.81,11.11,4.05,4.67,0.56,2.16,2.96,77.29,9.64,37500
"4518",4503,"kuldeep hooda",21,15,1,107,"29",7.64,129,82.95,0,0,0,4,10,1,11.73,12.9,"129",42.99,37.38,5.61,8.53,4.18,0.52,7.13,8.6,90.59,7.07,25000
"4540",4523,"ruben trumpelmann",24,13,8,106,"25",21.2,87,121.84,0,0,0,0,6,6,7.25,14.5,"14.5",56.6,22.64,33.96,13.79,5,0.61,8.15,6.69,143.04,8.38,25000
"4541",4523,"nikhil chaudhary",12,10,4,106,"23",17.67,81,130.86,0,0,0,0,9,3,6.75,9,"27",50.94,33.96,16.98,14.81,4.5,0.75,10.6,8.1,148.53,6.9,25000
"4564",4544,"shaurya sanandia",16,9,3,105,"30*",17.5,70,150,0,0,1,1,8,6,5,8.75,"11.67",64.76,30.48,34.29,20,4.86,0.66,11.67,7.78,167.5,8.56,25000
"4579",4566,"rituraj singh",25,14,2,104,"29",8.67,104,100,0,0,0,3,10,5,6.93,10.4,"20.8",67.31,38.46,28.85,14.42,4.67,0.38,7.43,7.43,108.67,7.5,12500
"4584",4566,"shaminda eranga",37,20,7,104,"24",8,110,94.55,0,0,0,2,10,1,10,11,"110",44.23,38.46,5.77,10,4.18,0.59,5.2,5.5,102.55,8.85,62500
"4606",4601,"avinash yadav",22,11,4,103,"21",14.71,108,95.37,0,0,0,1,12,1,8.31,9,"108",52.43,46.6,5.83,12.04,4.15,0.52,9.36,9.82,110.08,7.64,12500
"4635",4630,"beyers swanepoel",11,8,4,101,"39",25.25,55,183.64,0,0,2,1,10,5,3.67,5.5,"11",69.31,39.6,29.7,27.27,4.67,0.78,12.63,6.88,208.89,7.38,25000
"4683",4665,"nikita miller",76,23,16,99,"19*",14.14,114,86.84,0,0,0,3,7,0,16.29,16.29,"0",28.28,28.28,0,6.14,4,0.66,4.3,4.96,100.99,9.87,37500
"4685",4665,"jackson bird",84,25,15,99,"14",9.9,108,91.67,0,0,0,2,5,1,18,21.6,"108",26.26,20.2,6.06,5.56,4.33,0.72,3.96,4.32,101.57,9.68,62500
"4702",4701,"dhruv patel",9,6,1,98,"23",19.6,85,115.29,0,0,0,0,8,4,7.08,10.63,"21.25",57.14,32.65,24.49,14.12,4.67,0.58,16.33,14.17,134.89,4.67,25000
"4704",4701,"roosh kalaria",40,18,8,98,"15",9.8,83,118.07,0,0,0,1,8,5,6.38,10.38,"16.6",63.27,32.65,30.61,15.66,4.77,0.51,5.44,4.61,127.87,8.44,25000
"4714",4705,"vaibhav rawal",5,5,2,97,"39*",32.33,61,159.02,0,0,2,0,7,4,5.55,8.71,"15.25",53.61,28.87,24.74,18.03,4.73,0.9,19.4,12.2,191.35,5.4,12500
"4738",4732,"rajesh bishnoi",13,10,2,96,"52",12,104,92.31,0,1,0,2,5,4,11.56,20.8,"26",45.83,20.83,25,8.65,4.89,0.55,9.6,10.4,104.31,7.5,25000
"4741",4732,"bhargav merai",6,5,2,96,"48*",32,104,92.31,0,0,2,1,7,0,14.86,14.86,"0",29.17,29.17,0,6.73,4,0.7,19.2,20.8,124.31,3.4,12500
"4747",4732,"gitansh khera",11,7,2,96,"37",19.2,87,110.34,0,0,1,1,7,2,9.67,12.43,"43.5",41.67,29.17,12.5,10.34,4.44,0.72,13.71,12.43,129.54,7.29,25000
"4762",4732,"sandeep sharma",161,38,28,96,"13*",9.6,111,86.49,0,0,0,4,7,0,15.86,15.86,"0",29.17,29.17,0,6.31,4,0.65,2.53,2.92,96.09,10.16,62500
"4786",4763,"sumit ruikar",32,15,2,95,"20",7.31,97,97.94,0,0,0,3,6,2,12.13,16.17,"48.5",37.89,25.26,12.63,8.25,4.5,0.66,6.33,6.47,105.25,8.2,25000
"4796",4788,"kamlesh nagarkoti",25,14,6,94,"39",11.75,116,81.03,0,0,1,3,6,0,19.33,19.33,"0",25.53,25.53,0,5.17,4,0.64,6.71,8.29,92.78,8,137500
"4814",4801,"shoriful islam",82,30,11,94,"12",4.95,94,100,0,0,0,6,9,5,6.71,10.44,"18.8",70.21,38.3,31.91,14.89,4.71,0.35,3.13,3.13,104.95,9.7,62500
"4844",4839,"nitish kumar reddy",5,4,0,92,"41",23,96,95.83,0,0,2,0,6,3,10.67,16,"32",45.65,26.09,19.57,9.38,4.67,0.57,23,24,118.83,3,25000
"4846",4839,"rajesh mohanty",19,12,2,92,"36",9.2,95,96.84,0,0,1,3,5,5,9.5,19,"19",54.35,21.74,32.61,10.53,5,0.49,7.67,7.92,106.04,9.42,25000
"4861",4859,"mohammed taha",5,5,0,91,"45",18.2,83,109.64,0,0,2,1,10,3,6.38,8.3,"27.67",63.74,43.96,19.78,15.66,4.46,0.47,18.2,16.6,127.84,1,25000
"4880",4859,"noor ahmad",51,20,10,91,"20",9.1,85,107.06,0,0,0,3,4,5,9.44,21.25,"17",50.55,17.58,32.97,10.59,5.11,0.59,4.55,4.25,116.16,9.5,37500
"4890",4883,"nishant sindhu",8,8,1,90,"42",12.86,84,107.14,0,0,1,0,4,5,9.33,21,"16.8",51.11,17.78,33.33,10.71,5.11,0.59,11.25,10.5,120,5,75000
"4896",4883,"dhruv jurel",8,8,2,90,"32",15,74,121.62,0,0,1,2,5,5,7.4,14.8,"14.8",55.56,22.22,33.33,13.51,5,0.63,11.25,9.25,136.62,5.75,25000
"4910",4901,"bhargav bhatt",58,15,7,90,"20",11.25,73,123.29,0,0,0,1,7,4,6.64,10.43,"18.25",57.78,31.11,26.67,15.07,4.73,0.61,6,4.87,134.54,9.2,25000
"4912",4901,"jasprit bumrah",210,38,26,90,"16",7.5,105,85.71,0,0,0,6,6,3,11.67,17.5,"35",46.67,26.67,20,8.57,4.67,0.5,2.37,2.76,93.21,10.13,150000
"5007",5001,"raju bhatkal",20,14,5,86,"25",9.56,84,102.38,0,0,0,2,5,2,12,16.8,"42",37.21,23.26,13.95,8.33,4.57,0.7,6.14,6,111.94,7.93,12500
"5014",5001,"fawad ahmed",168,35,20,86,"19",5.73,114,75.44,0,0,0,5,6,3,12.67,19,"38",48.84,27.91,20.93,7.89,4.67,0.42,2.46,3.26,81.17,10.57,62500
"5021",5019,"ravi thakur",6,5,0,85,"53",17,78,108.97,0,1,0,0,9,3,6.5,8.67,"26",63.53,42.35,21.18,15.38,4.5,0.47,17,15.6,125.97,2,25000
"5026",5019,"mohammad saif",5,5,0,85,"32",17,84,101.19,0,0,2,2,9,1,8.4,9.33,"84",49.41,42.35,7.06,11.9,4.2,0.58,17,16.8,118.19,3,12500
"5034",5019,"shivam mavi",52,19,5,85,"26",6.07,90,94.44,0,0,0,4,6,4,9,15,"22.5",56.47,28.24,28.24,11.11,4.8,0.46,4.47,4.74,100.52,8.74,750000
"5037",5019,"akash parkar",10,7,3,85,"22*",21.25,89,95.51,0,0,0,0,6,0,14.83,14.83,"0",28.24,28.24,0,6.74,4,0.73,12.14,12.71,116.76,7.57,25000
"5039",5019,"darshan nalkande",34,17,4,85,"21",6.54,103,82.52,0,0,0,2,3,4,14.71,34.33,"25.75",42.35,14.12,28.24,6.8,5.14,0.51,5,6.06,89.06,7.88,25000
"5043",5019,"duanne olivier",56,17,11,85,"15",14.17,97,87.63,0,0,0,0,6,1,13.86,16.17,"97",35.29,28.24,7.06,7.22,4.29,0.61,5,5.71,101.8,9.59,62500
"5050",5045,"anmol malhotra",9,8,3,84,"40*",16.8,78,107.69,0,0,1,0,8,1,8.67,9.75,"78",45.24,38.1,7.14,11.54,4.22,0.67,10.5,9.75,124.49,6.63,25000
"5070",5045,"amit mishra",31,14,4,84,"18",8.4,54,155.56,0,0,0,3,8,4,4.5,6.75,"13.5",66.67,38.1,28.57,22.22,4.67,0.67,6,3.86,163.96,8.57,62500
"5078",5075,"matthew forde",10,7,3,83,"52*",20.75,59,140.68,0,1,0,0,7,4,5.36,8.43,"14.75",62.65,33.73,28.92,18.64,4.73,0.65,11.86,8.43,161.43,7.29,25000
"5084",5075,"abid mushtaq",22,11,3,83,"32",10.38,82,101.22,0,0,1,2,8,2,8.2,10.25,"41",53.01,38.55,14.46,12.2,4.4,0.54,7.55,7.45,111.59,8.09,25000
"5092",5075,"sujit nayak",14,7,5,83,"23*",41.5,53,156.6,0,0,0,1,8,4,4.42,6.63,"13.25",67.47,38.55,28.92,22.64,4.67,0.66,11.86,7.57,198.1,7,25000
"5094",5075,"cameron gannon",28,13,7,83,"23",13.83,81,102.47,0,0,0,1,7,2,9,11.57,"40.5",48.19,33.73,14.46,11.11,4.44,0.6,6.38,6.23,116.3,8.54,25000
"5095",5075,"hamid hassan",55,23,8,83,"22",5.53,95,87.37,0,0,0,5,6,2,11.88,15.83,"47.5",43.37,28.92,14.46,8.42,4.5,0.54,3.61,4.13,92.9,9.17,62500
"5096",5075,"ravi bishnoi",77,18,9,83,"22",9.22,89,93.26,0,0,0,3,9,2,8.09,9.89,"44.5",57.83,43.37,14.46,12.36,4.36,0.45,4.61,4.94,102.48,9.06,250000
"5097",5075,"gurinder sandhu",72,22,12,83,"20",8.3,90,92.22,0,0,0,5,7,2,10,12.86,"45",48.19,33.73,14.46,10,4.44,0.53,3.77,4.09,100.52,9.27,212500
"5098",5075,"shapoor zadran",83,31,13,83,"19*",4.61,120,69.17,0,0,0,8,1,9,12,120,"13.33",69.88,4.82,65.06,8.33,5.8,0.23,2.68,3.87,73.78,9.77,62500
"5109",5107,"prashant naik",5,5,1,82,"48",20.5,60,136.67,0,0,1,0,10,2,5,6,"30",63.41,48.78,14.63,20,4.33,0.63,16.4,12,157.17,4.2,12500
"5136",5107,"charl langeveldt",111,21,13,82,"14",10.25,96,85.42,0,0,0,2,6,2,12,16,"48",43.9,29.27,14.63,8.33,4.5,0.52,3.9,4.57,95.67,10.19,250
"5137",5107,"steven finn",140,30,20,82,"11",8.2,99,82.83,0,0,0,4,7,0,14.14,14.14,"0",34.15,34.15,0,7.07,4,0.59,2.73,3.3,91.03,10.13,125000
"5163",5139,"mohammad shami",144,32,17,81,"21",5.4,89,91.01,0,0,0,4,6,2,11.13,14.83,"44.5",44.44,29.63,14.81,8.99,4.5,0.56,2.53,2.78,96.41,9.25,781250
"5165",5139,"arun chaprana",15,9,2,81,"19",11.57,60,135,0,0,0,0,9,3,5,6.67,"20",66.67,44.44,22.22,20,4.5,0.56,9,6.67,146.57,5.89,25000
"5166",5139,"kesrick williams",113,29,15,81,"18",5.79,124,65.32,0,0,0,4,4,3,17.71,31,"41.33",41.98,19.75,22.22,5.65,4.86,0.4,2.79,4.28,71.11,9.76,62500
"5171",5139,"muttiah muralitharan",164,38,14,81,"11",3.38,110,73.64,0,0,0,11,3,2,22,36.67,"55",29.63,14.81,14.81,4.55,4.8,0.54,2.13,2.89,77.01,10.03,125000
"5185",5172,"hardik sethi",4,4,0,80,"34",20,66,121.21,0,0,1,1,13,0,5.08,5.08,"0",65,65,0,19.7,4,0.53,20,16.5,141.21,5.25,12500
"5202",5201,"satyajeet bachhav",46,15,4,80,"13",7.27,80,100,0,0,0,1,8,0,10,10,"0",40,40,0,10,4,0.67,5.33,5.33,107.27,8.27,25000
"5203",5201,"peter siddle",112,35,20,80,"11",5.33,102,78.43,0,0,0,9,5,2,14.57,20.4,"51",40,25,15,6.86,4.57,0.51,2.29,2.91,83.76,9.66,93750
"5208",5205,"vikash singh",36,10,4,79,"46",13.17,73,108.22,0,0,1,0,4,5,8.11,18.25,"14.6",58.23,20.25,37.97,12.33,5.11,0.52,7.9,7.3,121.39,9.1,25000
"5211",5205,"rahul dagar",5,4,0,79,"39",19.75,80,98.75,0,0,1,0,8,0,10,10,"0",40.51,40.51,0,10,4,0.65,19.75,20,118.5,6,12500
"5216",5205,"mayank markande",57,16,11,79,"33*",15.8,69,114.49,0,0,1,1,8,1,7.67,8.63,"69",48.1,40.51,7.59,13.04,4.22,0.68,4.94,4.31,130.29,9.13,62500
"5224",5205,"antony dhas",11,7,6,79,"28*",79,57,138.6,0,0,0,1,7,4,5.18,8.14,"14.25",65.82,35.44,30.38,19.3,4.73,0.59,11.29,8.14,217.6,7.86,25000
"5236",5205,"rahul shukla",58,22,13,79,"17",8.78,77,102.6,0,0,0,6,5,3,9.63,15.4,"25.67",48.1,25.32,22.78,10.39,4.75,0.59,3.59,3.5,111.38,9.41,50000
"5238",5205,"aniket choudhary",70,22,12,79,"15*",7.9,84,94.05,0,0,0,6,6,2,10.5,14,"42",45.57,30.38,15.19,9.52,4.5,0.57,3.59,3.82,101.95,10.36,37500
"5270",5266,"murtuja vahora",24,11,5,77,"45",12.83,49,157.14,0,0,1,2,10,2,4.08,4.9,"24.5",67.53,51.95,15.58,24.49,4.33,0.68,7,4.45,169.98,9.27,12500
"5279",5266,"dunith wellalage",13,6,1,77,"30",15.4,69,111.59,0,0,1,0,8,1,7.67,8.63,"69",49.35,41.56,7.79,13.04,4.22,0.65,12.83,11.5,126.99,6.5,62500
"5297",5266,"rangana herath",53,26,7,77,"9",4.05,103,74.76,0,0,0,1,0,2,51.5,0,"51.5",15.58,0,15.58,1.94,6,0.64,2.96,3.96,78.81,8.85,187500
"5311",5301,"shamshuzama kazi",26,15,8,76,"28",10.86,78,97.44,0,0,0,3,6,2,9.75,13,"39",47.37,31.58,15.79,10.26,4.5,0.57,5.07,5.2,108.29,8.27,25000
"5328",5301,"joel paris",36,16,6,76,"16",7.6,76,100,0,0,0,1,4,3,10.86,19,"25.33",44.74,21.05,23.68,9.21,4.86,0.61,4.75,4.75,107.6,8.81,37500
"5332",5301,"yuzvendra chahal",270,39,23,76,"10",4.75,146,52.05,0,0,0,3,1,0,146,146,"0",5.26,5.26,0,0.68,4,0.5,1.95,3.74,56.8,10.28,812500
"5356",5333,"reece topley",138,30,22,75,"14",9.38,88,85.23,0,0,0,4,6,2,11,14.67,"44",48,32,16,9.09,4.5,0.49,2.5,2.93,94.6,10.57,237500
"5361",5333,"pragyan ojha",142,38,20,75,"11",4.17,108,69.44,0,0,0,8,0,3,36,0,"36",24,0,24,2.78,6,0.54,1.97,2.84,73.61,10.18,62500
"5395",5362,"mohsin khan",31,14,5,74,"19",8.22,56,132.14,0,0,0,1,6,3,6.22,9.33,"18.67",56.76,32.43,24.32,16.07,4.67,0.68,5.29,4,140.37,8.5,25000
"5401",5401,"tabraiz shamsi",220,41,25,74,"15",4.63,140,52.86,0,0,0,9,2,1,46.67,70,"140",18.92,10.81,8.11,2.14,4.67,0.44,1.8,3.41,57.48,10.32,125000
"5426",5405,"basil thampi",80,19,11,73,"22",9.13,67,108.96,0,0,0,3,4,4,8.38,16.75,"16.75",54.79,21.92,32.88,11.94,5,0.56,3.84,3.53,118.08,9.05,37500
"5430",5405,"zahir khan",90,32,15,73,"19",4.29,83,87.95,0,0,0,9,6,3,9.22,13.83,"27.67",57.53,32.88,24.66,10.84,4.67,0.42,2.28,2.59,92.25,10.81,62500
"5457",5439,"ramesh powar",28,11,7,72,"28",18,70,102.86,0,0,0,1,7,1,8.75,10,"70",47.22,38.89,8.33,11.43,4.25,0.61,6.55,6.36,120.86,8.36,37500
"5460",5439,"ayush jamwal",22,9,4,72,"27",14.4,61,118.03,0,0,0,0,5,4,6.78,12.2,"15.25",61.11,27.78,33.33,14.75,4.89,0.54,8,6.78,132.43,8.33,25000
"5465",5439,"udit patel",18,12,4,72,"21",9,62,116.13,0,0,0,3,5,4,6.89,12.4,"15.5",61.11,27.78,33.33,14.52,4.89,0.53,6,5.17,125.13,7.67,12500
"5466",5439,"mayank dagar",45,17,3,72,"21",5.14,93,77.42,0,0,0,4,5,1,15.5,18.6,"93",36.11,27.78,8.33,6.45,4.33,0.53,4.24,5.47,82.56,9.06,225000
"5471",5470,"veer pratap singh",24,9,5,71,"61",17.75,74,95.95,0,1,0,1,4,3,10.57,18.5,"24.67",47.89,22.54,25.35,9.46,4.86,0.55,7.89,8.22,113.7,8,50000
"5474",5470,"kartik kakade",15,8,2,71,"53",11.83,59,120.34,0,1,0,2,7,2,6.56,8.43,"29.5",56.34,39.44,16.9,15.25,4.44,0.62,8.88,7.38,132.17,7.63,25000
"5485",5470,"atharva ankolekar",9,6,2,71,"37",17.75,55,129.09,0,0,1,0,1,5,9.17,55,"11",47.89,5.63,42.25,10.91,5.67,0.76,11.83,9.17,146.84,8.17,25000
"5504",5501,"abhimanyu khod",5,5,0,71,"23",14.2,73,97.26,0,0,0,0,7,2,8.11,10.43,"36.5",56.34,39.44,16.9,12.33,4.44,0.48,14.2,14.6,111.46,3.6,12500
"5514",5501,"scott boland",62,23,16,71,"10",10.14,81,87.65,0,0,0,3,7,0,11.57,11.57,"0",39.44,39.44,0,8.64,4,0.58,3.09,3.52,97.8,9.65,62500
"5545",5515,"hrithik shokeen",13,6,3,70,"25",23.33,65,107.69,0,0,0,0,10,0,6.5,6.5,"0",57.14,57.14,0,15.38,4,0.55,11.67,10.83,131.03,7.67,25000
"5553",5515,"lizaad williams",62,15,13,70,"17",35,71,98.59,0,0,0,2,4,2,11.83,17.75,"35.5",40,22.86,17.14,8.45,4.67,0.65,4.67,4.73,133.59,9.93,25000
"5559",5515,"david payne",132,32,17,70,"10",4.67,81,86.42,0,0,0,6,1,2,27,81,"40.5",22.86,5.71,17.14,3.7,5.33,0.69,2.19,2.53,91.09,10.22,93750
"5560",5515,"lakshan sandakan",76,26,13,70,"10",5.38,130,53.85,0,0,0,2,4,0,32.5,32.5,"0",22.86,22.86,0,3.08,4,0.43,2.69,5,59.23,9.92,62500
"5561",5561,"kaushal tambe",3,3,2,69,"62",69,40,172.5,0,1,0,0,4,5,4.44,10,"8",66.67,23.19,43.48,22.5,5.11,0.74,23,13.33,241.5,6.67,25000
"5562",5561,"rohit rayudu",8,5,1,69,"47",17.25,65,106.15,0,0,1,0,1,3,16.25,65,"21.67",31.88,5.8,26.09,6.15,5.5,0.77,13.8,13,123.4,4.4,25000
"5567",5561,"karan sharma",3,3,0,69,"35",23,53,130.19,0,0,2,0,9,1,5.3,5.89,"53",60.87,52.17,8.7,18.87,4.2,0.63,23,17.67,153.19,1.67,25000
"5578",5561,"akshay wakhare",62,14,5,69,"25",7.67,66,104.55,0,0,0,4,5,2,9.43,13.2,"33",46.38,28.99,17.39,10.61,4.57,0.63,4.93,4.71,112.21,9.93,12500
"5587",5561,"ashish nehra",133,28,15,69,"22",5.31,102,67.65,0,0,0,9,4,3,14.57,25.5,"34",49.28,23.19,26.09,6.86,4.86,0.37,2.46,3.64,72.95,10.14,687500
"5594",5561,"doug bollinger",128,20,9,69,"17",6.27,72,95.83,0,0,0,3,5,2,10.29,14.4,"36",46.38,28.99,17.39,9.72,4.57,0.57,3.45,3.6,102.11,10.6,125000
"5595",5561,"tino best",55,21,10,69,"17",6.27,79,87.34,0,0,0,6,4,3,11.29,19.75,"26.33",49.28,23.19,26.09,8.86,4.86,0.49,3.29,3.76,93.61,10.1,37500
"5598",5561,"maheesh theekshana",107,32,15,69,"11",4.06,93,74.19,0,0,0,8,3,3,15.5,31,"31",43.48,17.39,26.09,6.45,5,0.45,2.16,2.91,78.25,9.59,87500
"5629",5601,"siddarth kaul",132,31,23,68,"8",8.5,78,87.18,0,0,0,3,5,0,15.6,15.6,"0",29.41,29.41,0,6.41,4,0.66,2.19,2.52,95.68,10.03,475000
"5636",5630,"samarpit joshi",4,3,0,67,"39",22.33,61,109.84,0,0,1,1,4,4,7.63,15.25,"15.25",59.7,23.88,35.82,13.11,5,0.51,22.33,20.33,132.17,5.33,25000
"5656",5630,"pankaj singh",57,23,11,67,"10",5.58,98,68.37,0,0,0,5,1,2,32.67,98,"49",23.88,5.97,17.91,3.06,5.33,0.54,2.91,4.26,73.95,9,150000
"5657",5657,"mohammad taha",8,5,1,66,"47",16.5,73,90.41,0,0,1,1,6,0,12.17,12.17,"0",36.36,36.36,0,8.22,4,0.63,13.2,14.6,106.91,7.2,12500
"5664",5657,"bharat sharma",4,4,0,66,"38",16.5,49,134.69,0,0,1,1,9,3,4.08,5.44,"16.33",81.82,54.55,27.27,24.49,4.5,0.32,16.5,12.25,151.19,1,25000
"5669",5657,"sarthak ranjan",5,5,0,66,"31",13.2,52,126.92,0,0,1,0,9,2,4.73,5.78,"26",72.73,54.55,18.18,21.15,4.36,0.44,13.2,10.4,140.12,3,25000
"5695",5657,"dirk nannes",214,39,31,66,"12",8.25,79,83.54,0,0,0,2,3,1,19.75,26.33,"79",27.27,18.18,9.09,5.06,4.5,0.64,1.69,2.03,91.79,10.69,6e+05
"5734",5701,"ishant sharma",146,33,25,65,"10",8.13,78,83.33,0,0,0,3,5,2,11.14,15.6,"39",49.23,30.77,18.46,8.97,4.57,0.46,1.97,2.36,91.46,10.15,62500
"5793",5764,"akshat raghuwanshi",7,7,2,63,"24",12.6,48,131.25,0,0,0,0,7,2,5.33,6.86,"24",63.49,44.44,19.05,18.75,4.44,0.59,9,6.86,143.85,5.71,25000
"5816",5801,"josh hazlewood",93,18,14,63,"13",15.75,66,95.45,0,0,0,2,6,1,9.43,11,"66",47.62,38.1,9.52,10.61,4.29,0.56,3.5,3.67,111.2,10.72,968750
"5817",5801,"navdeep saini",77,18,12,63,"12",10.5,77,81.82,0,0,0,0,5,0,15.4,15.4,"0",31.75,31.75,0,6.49,4,0.6,3.5,4.28,92.32,9.39,325000
"5851",5818,"dhammika prasad",21,16,6,62,"17",6.2,76,81.58,0,0,0,2,3,2,15.2,25.33,"38",38.71,19.35,19.35,6.58,4.8,0.54,3.88,4.75,87.78,9.19,62500
"5856",5818,"puneet datey",29,11,2,62,"15",6.89,40,155,0,0,0,1,2,6,5,20,"6.67",70.97,12.9,58.06,20,5.5,0.56,5.64,3.64,161.89,8.73,25000
"5899",5860,"nuwan pradeep",82,29,19,61,"10",6.1,106,57.55,0,0,0,5,4,2,17.67,26.5,"53",45.9,26.23,19.67,5.66,4.67,0.33,2.1,3.66,63.65,10.41,62500
"5928",5901,"beuran hendricks",97,21,11,60,"17",6,74,81.08,0,0,0,3,2,1,24.67,37,"74",23.33,13.33,10,4.05,4.67,0.65,2.86,3.52,87.08,9.33,225000
"5929",5901,"akash deep",33,10,4,60,"17",10,45,133.33,0,0,0,2,4,3,6.43,11.25,"15",56.67,26.67,30,15.56,4.86,0.68,6,4.5,143.33,9,25000
"5934",5901,"chanaka welegedara",38,15,10,60,"12",12,50,120,0,0,0,1,3,3,8.33,16.67,"16.67",50,20,30,12,5,0.68,4,3.33,132,10.8,625
"5935",5901,"nathan lyon",51,18,7,60,"11",5.45,64,93.75,0,0,0,4,4,0,16,16,"0",26.67,26.67,0,6.25,4,0.73,3.33,3.56,99.2,9.67,187500
"5964",5936,"priyesh patel",4,4,0,59,"24",14.75,47,125.53,0,0,0,0,6,3,5.22,7.83,"15.67",71.19,40.68,30.51,19.15,4.67,0.45,14.75,11.75,140.28,2.25,25000
"5966",5936,"parth kohli",3,3,1,59,"24*",29.5,63,93.65,0,0,0,0,5,1,10.5,12.6,"63",44.07,33.9,10.17,9.52,4.33,0.58,19.67,21,123.15,5.67,12500
"5980",5936,"avesh khan",82,18,9,59,"12",6.56,51,115.69,0,0,0,3,3,5,6.38,17,"10.2",71.19,20.34,50.85,15.69,5.25,0.4,3.28,2.83,122.24,9.22,1250000
"5982",5936,"kemar roach",45,13,5,59,"12",7.38,52,113.46,0,0,0,3,3,3,8.67,17.33,"17.33",50.85,20.34,30.51,11.54,5,0.63,4.54,4,120.84,8.69,125000
"5994",5986,"ramaswamy prasanna",7,6,1,58,"34",11.6,57,101.75,0,0,1,0,2,2,14.25,28.5,"28.5",34.48,13.79,20.69,7.02,5,0.72,9.67,9.5,113.35,6.83,12500
"6061",6020,"pritam das",55,26,10,57,"13*",3.56,64,89.06,0,0,0,10,4,2,10.67,16,"32",49.12,28.07,21.05,9.38,4.67,0.5,2.19,2.46,92.63,9.38,12500
"6072",6066,"shaik rasheed",3,3,1,56,"37*",28,50,112,0,0,1,0,5,0,10,10,"0",35.71,35.71,0,10,4,0.8,18.67,16.67,140,6,25000
"6111",6101,"saqib mahmood",59,18,12,56,"11",9.33,73,76.71,0,0,0,2,2,1,24.33,36.5,"73",25,14.29,10.71,4.11,4.67,0.6,3.11,4.06,86.05,9.67,250000
"6148",6114,"abishek porel",7,7,1,55,"20*",9.17,53,103.77,0,0,0,1,3,3,8.83,17.67,"17.67",54.55,21.82,32.73,11.32,5,0.53,7.86,7.57,112.94,5.29,25000
"6180",6162,"tanush kotian",15,6,4,54,"28",27,42,128.57,0,0,0,0,4,2,7,10.5,"21",51.85,29.63,22.22,14.29,4.67,0.72,9,7,155.57,9.17,25000
"6194",6162,"sunny gupta",16,8,1,54,"22*",7.71,52,103.85,0,0,0,2,8,1,5.78,6.5,"52",70.37,59.26,11.11,17.31,4.22,0.37,6.75,6.5,111.56,8.5,12500
"6202",6201,"bharat sharma",10,7,1,54,"20",9,63,85.71,0,0,0,0,6,1,9,10.5,"63",55.56,44.44,11.11,11.11,4.29,0.43,7.71,9,94.71,7.29,25000
"6216",6201,"lakshmipathy balaji",104,20,9,54,"15",4.91,62,87.1,0,0,0,6,4,2,10.33,15.5,"31",51.85,29.63,22.22,9.68,4.67,0.46,2.7,3.1,92.01,9.6,225000
"6217",6201,"himanshu bisht",17,11,4,54,"15*",7.71,56,96.43,0,0,0,2,5,1,9.33,11.2,"56",48.15,37.04,11.11,10.71,4.33,0.56,4.91,5.09,104.14,7.73,25000
"6223",6201,"patrick brown",70,18,13,54,"9",10.8,75,72,0,0,0,3,1,0,75,75,"0",7.41,7.41,0,1.33,4,0.68,3,4.17,82.8,10.33,62500
"6238",6224,"mayank tehlan",6,4,1,53,"25*",17.67,43,123.26,0,0,0,0,5,0,8.6,8.6,"0",37.74,37.74,0,11.63,4,0.87,13.25,10.75,140.92,5,12500
"6249",6224,"arjun sharma",13,8,4,53,"18*",13.25,55,96.36,0,0,0,1,3,1,13.75,18.33,"55",33.96,22.64,11.32,7.27,4.5,0.69,6.63,6.88,109.61,7.5,25000
"6255",6224,"khary pierre",54,16,10,53,"15",8.83,67,79.1,0,0,0,3,4,1,13.4,16.75,"67",41.51,30.19,11.32,7.46,4.4,0.5,3.31,4.19,87.94,9.31,62500
"6256",6224,"glenton stuurman",29,14,3,53,"14",4.82,62,85.48,0,0,0,3,1,1,31,62,"62",18.87,7.55,11.32,3.23,5,0.72,3.79,4.43,90.3,8.5,62500
"6275",6263,"sairaj patil",7,4,1,52,"31",17.33,45,115.56,0,0,1,0,3,3,7.5,15,"15",57.69,23.08,34.62,13.33,5,0.56,13,11.25,132.89,6,25000
"6281",6263,"mukhtar hussain",21,6,5,52,"25",52,28,185.71,0,0,0,0,4,4,3.5,7,"7",76.92,30.77,46.15,28.57,5,0.6,8.67,4.67,237.71,9.5,25000
"6289",6263,"tarang gohel",4,4,0,52,"19",13,45,115.56,0,0,0,0,7,2,5,6.43,"22.5",76.92,53.85,23.08,20,4.44,0.33,13,11.25,128.56,1,25000
"6310",6301,"pranshu vijayran",21,10,5,51,"34",10.2,42,121.43,0,0,1,0,3,3,7,14,"14",58.82,23.53,35.29,14.29,5,0.58,5.1,4.2,131.63,7.9,25000
